no_terms,topic,terms
1,367,piracy
3,367,piracy taking fishing
3,367,piracy body legal
3,367,piracy boarding control
3,367,piracy boats unless
3,367,piracy fashioned clashes
3,367,piracy water instances
3,367,piracy contents modern
3,367,piracy ships vessels
1,347,species
3,347,wildlife extinction species
1,347,prevent
3,347,wildlife extinction countries
3,347,wildlife extinction prevent
3,347,wildlife extinction efforts
3,347,wildlife extinction demise
3,347,wildlife extinction spotted
1,341,screening
3,341,security airport steps
3,341,security airport screening
1,435,population
3,435,population curbing measures
3,435,population curbing growth
3,435,population curbing involuntarily
3,435,population curbing famine
1,435,worldwide
3,435,population curbing pursued
1,435,passive
1,408,tropical
3,408,tropical storms caused
3,408,tropical storms damage
3,408,tropical storms damagecasualties
3,408,tropical storms date
3,408,tropical storms typhoons
3,435,population curbing actual
3,435,population curbing events
1,435,effective
3,435,population curbing countries
3,341,security airport additional
1,341,carry
3,341,security airport carry
3,341,security airport international
3,341,security airport luggage
3,341,security airport baggage
1,408,loss
3,408,tropical storms slight
3,408,tropical storms extent
3,347,wildlife extinction native
1,408,property
3,435,population curbing actively
1,435,reducing
3,435,population curbing results
3,435,population curbing passive
1,435,describe
3,435,population curbing reduction
3,435,population curbing disease
3,435,population curbing describe
3,435,population curbing worldwide
3,435,population curbing effective
3,435,population curbing reducing
3,341,security airport passengers
3,341,security airport scrutinize
3,341,security airport increase
3,341,security airport flights
3,341,security airport relevance
3,341,security airport mention
3,341,security airport effective
3,341,security airport check
1,341,airports
3,341,security airport mere
3,341,security airport compartment
1,341,disaster
3,408,tropical storms limited
1,408,affected
3,408,tropical storms loss
3,408,tropical storms hurricanes
3,408,tropical storms property
3,408,tropical storms affected
3,408,tropical storms describe
1,347,owl
3,347,wildlife extinction owl
1,347,declines
3,347,wildlife extinction highlighted
1,347,begun
3,347,wildlife extinction steps
3,347,wildlife extinction declines
3,408,tropical storms significant
3,408,tropical storms life
3,347,wildlife extinction episode
1,347,save
3,347,wildlife extinction america
3,347,wildlife extinction save
3,347,wildlife extinction item
3,347,wildlife extinction involved
3,341,security airport personnel
1,341,constitute
1,347,specify
3,347,wildlife extinction begun
3,341,security airport devices
1,341,examples
3,347,wildlife extinction specify
