A110KENBXU7SUJ,0
AA9V4NE8SOA4I,1
A149ROBL26JWPJ,2
A26K8OELA8ZDI9,3
A359ETX78LN74M,4
APGX2WZ59OWDN,5
A2EI075XZT9Y2S,6
AKLV0WIZZ356X,7
AFDC9A6Z60W2Z,8
A1WAIQEBF6RLC6,9
A2SMAZGQOV2IAU,10
A256FHXGSY0E5D,11
A3F6SDO4GYBE4Y,12
ANVAFB99K5RKP,13
A2LQ33BQ8G259D,14
A177EXELDLWTWV,15
A38DC3BG1ZCVZ2,16
A3G00Q5JV2BE5G,17
A3RQN5RZD1N2KP,18
ASB8T0H7L99RF,19
A1A8L6LU8E2YOA,20
A3UC45GKCAZ7ZU,21
A3Q92WMGIHEPSD,22
A2UO3QJZNC2VOE,23
A20ALQT1HIVSAH,24
ARQ9DY4UL4WJ4,25
A3FAURB3U6YND5,26
A1GXPNXDLMT0QB,27
AKZ8SFOAI4RZN,28
A2OCP3UDPBH0ME,29
A2LV5432PV1S39,30
A1WP410YX2JBKI,31
A2B8HPIZDKYKDR,32
A31XNLA9REVGXL,33
A2EA2PN47ZWILX,34
AROOCBM042SJD,35
APXNY64HXO08K,36
A26D4H8UHMF9DZ,37
A13FT8BNX9UUP8,38
A2HXTXD0IMKUN0,39
AK2C9AX5QJWUU,40
ALLP45O3BDWYM,41
A2YYQJ3JWA2KGD,42
A1JCFCPGEYT1L4,43
A2551EKB87S2XY,44
A2XFO0X6RCS98M,45
A1GKEEI844CEKI,46
A13T61GJTR2Y9B,47
A3FEA15CV13Z0L,48
A2S96ZZ70YFPSK,49
AP7BOM5KUH8KV,50
A3HTLXAPOBCVVO,51
A39C1BN9ZSQ0R2,52
